id,name,lga_id,status,created_at,updated_at,deleted_at
117,URTTA,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
118,AMATOR,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
119,UMUNNEISE,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
120,OKPOR - UMUOBO,11,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
121,WARD ONE,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
122,WARD TWO,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
123,WARD THREE,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
124,WARD FOUR,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
125,WARD FIVE,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
126,WARD SIX,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
127,WARD SEVEN,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
128,WARD EIGHT,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
129,WARD NINE,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
130,WARD TEN,12,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
131,IKWURIATOR EAST,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
132,IKWURIATOR WEST,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
133,AZUMINI,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
134,UMUIGUBE ACHARA,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
135,AKWETE,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
136,OBOHIA,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
137,IKWUEKE EAST,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
138,IKWUEKE  WEST,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
139,NKPOROBE/OHURU,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
140,IKWUORIE,13,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
141,ASA NORTH,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
142,OBOKWE,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
143,OGWE,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
144,ASA SOUTH,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
145,OBUZOR,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
146,IPU WEST,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
147,IPU  EAST,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
148,IPU   SOUTH,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
149,OZAA UKWU,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
150,OZAA  WEST,14,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
151,IBEKU EAST  I,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
152,IBEKU EAST  II,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
153,NDUME,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
154,IBEKU WEST,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
155,UMUAHIA URBAN  I,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
156,UMUAHIA URBAN  II,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
157,UMUAHIA URBAN  III,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
158,NKWOACHARA,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
159,NKWOEGWU,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
160,AFUGIRI,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
161,UMUHU,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
162,ISINGWU,15,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
163,EZELEKE/OGBODIUKWU,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
164,OMAEGWU,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
165,OHIAOCHA,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
166,AHIAUKWU  I,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
167,AHIAUKWU  II,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
168,OLD UMUAHIA,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
169,AMAKAMA,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
170,UBAKALA  'A',16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
171,NSIRIMO,16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
172,UBAKALA  'B',16,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
173,AMUDA,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
174,UMUAKU,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
175,MBALA/ACHARA,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
176,EZINGODO,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
177,NDIAWA/UMUELEM/I,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
178,EZIAMA - UGWU,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
179,EZIAMA - AGBO,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
